job_index,pv_s_scale,svc_q_scale,cap_total_mvar,t0,sample_kind
0,0.8922557234764099,1.0637273788452148,0.26554685831069946,15810,uniform
1,1.11762273311615,0.715850830078125,0.564409077167511,14639,uniform
2,1.4199260473251343,1.2354456186294556,0.9599280953407288,25978,uniform
3,1.3979382514953613,0.7383283972740173,0.08925921469926834,13517,uniform
4,1.1385867595672607,1.2653429508209229,0.07055781781673431,35569,uniform
5,0.758236825466156,0.8443105220794678,0.6788710355758667,31780,uniform
6,1.1141111850738525,1.202295184135437,0.8086973428726196,33854,uniform
7,0.8388385772705078,0.7685493230819702,0.0764496922492981,26570,uniform
8,0.7935377955436707,0.8132753372192383,0.8678043484687805,36143,uniform
9,0.8543351292610168,1.4582303762435913,0.3429531753063202,35352,uniform
10,1.437896490097046,1.3765506744384766,0.5912892818450928,33150,uniform
11,0.7079476118087769,1.360935926437378,0.6865734457969666,5601,uniform
12,1.172824740409851,1.4896107912063599,0.6333551406860352,33249,uniform
13,0.9680083394050598,1.4241880178451538,0.5417709350585938,8311,uniform
14,0.8214073181152344,1.3901398181915283,0.03448038548231125,37912,uniform
15,1.1092581748962402,1.2629188299179077,0.8158876299858093,20146,uniform
16,1.0925081968307495,0.7300975322723389,0.36204707622528076,31489,uniform
17,0.728144645690918,1.1051019430160522,0.5382826328277588,24154,uniform
18,1.4516876935958862,1.1898695230484009,0.8314368724822998,37557,uniform
19,0.9327476024627686,1.0882830619812012,0.34245166182518005,35197,uniform
20,1.2022912502288818,1.2867220640182495,0.22980652749538422,18802,uniform
21,1.0491986274719238,1.2544554471969604,0.20400550961494446,30252,uniform
22,1.3682831525802612,0.7437836527824402,0.37879759073257446,6834,uniform
23,1.0680971145629883,1.2324644327163696,0.8391338586807251,1055,uniform
24,1.2938110828399658,0.759593665599823,0.45351284742355347,11615,uniform
25,1.1979182958602905,1.0832096338272095,0.08032047748565674,23813,uniform
26,1.457740306854248,0.8538777828216553,0.1427513211965561,12549,uniform
27,1.4690325260162354,0.9606273770332336,0.10628269612789154,34361,uniform
28,0.9049335718154907,1.2795544862747192,0.23246155679225922,29235,uniform
29,1.140488862991333,1.3566157817840576,0.9259065985679626,16175,uniform
30,1.1458288431167603,0.9548333883285522,0.4786820411682129,32421,uniform
31,1.2286908626556396,1.1837670803070068,0.7860862612724304,35532,uniform
32,1.1793975830078125,1.2078396081924438,0.18523195385932922,33234,uniform
33,0.8690906763076782,1.455291986465454,0.5538768172264099,22398,uniform
34,0.7128766179084778,1.2723759412765503,0.5335721373558044,17808,uniform
35,1.3854740858078003,0.9864910244941711,0.4299546480178833,20819,uniform
36,1.3329659700393677,0.9911923408508301,0.2500589191913605,23210,uniform
37,0.9601963758468628,1.360870122909546,0.6713555455207825,11065,uniform
38,1.0993938446044922,1.2273160219192505,0.6986435651779175,29897,uniform
39,1.1689258813858032,0.9943897724151611,0.09949544072151184,20978,uniform
40,1.306602120399475,0.7503799200057983,0.1542302817106247,38304,uniform
41,1.3476468324661255,1.2223814725875854,0.7683918476104736,8544,uniform
42,1.2662214040756226,0.9071076512336731,0.9094436168670654,13275,uniform
43,0.9687908887863159,1.4757083654403687,0.15416300296783447,7770,uniform
44,0.7895867228507996,0.8641526699066162,0.9482090473175049,30453,uniform
45,1.1299362182617188,0.9754817485809326,0.2926683723926544,601,uniform
46,0.8527153730392456,1.1863834857940674,0.34452828764915466,28436,uniform
47,0.8003436326980591,1.0245590209960938,0.927804708480835,23372,uniform
48,1.016225814819336,0.8369040489196777,0.8813883066177368,15216,uniform
49,0.8823758959770203,1.394743800163269,0.17009888589382172,2692,uniform
50,1.178501009941101,0.7685629725456238,0.04462038353085518,25823,uniform
51,0.7302448153495789,1.21636164188385,0.6938811540603638,15848,uniform
52,0.8678925037384033,0.9537199139595032,0.9918327927589417,29499,uniform
53,1.125709891319275,1.4099546670913696,0.42857468128204346,9077,uniform
54,1.304563045501709,1.0156031847000122,0.6311210989952087,25055,uniform
55,1.473944067955017,0.8318284749984741,0.16148671507835388,6458,uniform
56,1.275113821029663,0.8149674534797668,0.5744419693946838,1286,uniform
57,0.9820008277893066,1.3972419500350952,0.9509360194206238,23859,uniform
58,1.2377731800079346,1.221665382385254,0.4248778820037842,1413,uniform
59,1.0450022220611572,1.3405303955078125,0.19738325476646423,26502,uniform
60,1.1346232891082764,0.8621559739112854,0.21511059999465942,26765,uniform
